,count,mean,std,min,25%,50%,75%,max
cc_num,1048575.0,4.1715650202795834e+17,1.3088111728185928e+18,60416207185.0,180040000000000.0,3520550000000000.0,4642260000000000.0,4.99235e+18
amt,1048575.0,70.27909503850466,159.95184138630665,1.0,9.64,47.45,83.05,28948.9
zip,1048575.0,48801.59060439168,26898.040351269334,1257.0,26237.0,48174.0,72042.0,99783.0
lat,1048575.0,38.53336446272322,5.0768523409346225,20.0271,34.6205,39.3543,41.9404,66.6933
long,1048575.0,-90.2262556633526,13.758582498295917,-165.6723,-96.798,-87.4769,-80.158,-67.9503
city_pop,1048575.0,89057.75906349093,302435.057619921,23.0,743.0,2456.0,20328.0,2906700.0
unix_time,1048575.0,1344905832.7786558,10196997.483775495,1325376018.0,1336682353.0,1344901521.0,1354366012.0,1362931730.0
merch_lat,1048575.0,38.53346331309348,5.111232565733314,19.027785,34.72954,39.362945,41.9560215,67.510267
merch_long,1048575.0,-90.22647710254488,13.77092936941715,-166.671242,-96.898639,-87.439226,-80.232279,-66.950902
is_fraud,1048575.0,0.005727773406766326,0.07546503461683597,0.0,0.0,0.0,0.0,1.0
