threshold,alerts,fraud_caught,fraud_missed,false_alarms,recall,precision,money_saved,review_cost,customer_cost,net_benefit
0.01,24225,1139,6,23086,0.9948,0.047,628366.34,121125.0,1038870.0,-531628.66
0.02,17056,1134,11,15922,0.9904,0.0665,627907.12,85280.0,716490.0,-173862.88
0.03,13427,1129,16,12298,0.986,0.0841,627565.36,67135.0,553410.0,7020.36
0.04,11239,1126,19,10113,0.9834,0.1002,627222.08,56195.0,455085.0,115942.08
0.05,9816,1124,21,8692,0.9817,0.1145,627177.77,49080.0,391140.0,186957.77
0.06,8820,1118,27,7702,0.9764,0.1268,626974.62,44100.0,346590.0,236284.62
0.07,8055,1116,29,6939,0.9747,0.1385,626946.66,40275.0,312255.0,274416.66
0.08,7464,1114,31,6350,0.9729,0.1492,626317.22,37320.0,285750.0,303247.22
0.09,6989,1112,33,5877,0.9712,0.1591,626290.08,34945.0,264465.0,326880.08
0.1,6564,1109,36,5455,0.9686,0.169,626110.54,32820.0,245475.0,347815.54
0.15,5050,1094,51,3956,0.9555,0.2166,624071.46,25250.0,178020.0,420801.46
0.2,4020,1087,58,2933,0.9493,0.2704,620936.74,20100.0,131985.0,468851.74
0.25,3278,1077,68,2201,0.9406,0.3286,618205.76,16390.0,99045.0,502770.76
0.3,2833,1062,83,1771,0.9275,0.3749,613577.56,14165.0,79695.0,519717.56
0.35,2524,1048,97,1476,0.9153,0.4152,611341.04,12620.0,66420.0,532301.04
0.4,2244,1034,111,1210,0.9031,0.4608,608781.21,11220.0,54450.0,543111.21
0.45,2008,1021,124,987,0.8917,0.5085,603052.53,10040.0,44415.0,548597.53
0.5,1798,1009,136,789,0.8812,0.5612,599444.62,8990.0,35505.0,554949.62
0.55,1645,993,152,652,0.8672,0.6036,590403.59,8225.0,29340.0,552838.59
0.6,1497,977,168,520,0.8533,0.6526,581356.31,7485.0,23400.0,550471.31
0.65,1372,949,196,423,0.8288,0.6917,572148.82,6860.0,19035.0,546253.82
0.7,1263,920,225,343,0.8035,0.7284,556116.04,6315.0,15435.0,534366.04
0.75,1132,891,254,241,0.7782,0.7871,546379.89,5660.0,10845.0,529874.89
0.8,1015,849,296,166,0.7415,0.8365,526884.64,5075.0,7470.0,514339.64
0.85,889,792,353,97,0.6917,0.8909,494025.83,4445.0,4365.0,485215.83
0.9,764,723,422,41,0.6314,0.9463,450512.08,3820.0,1845.0,444847.08
0.95,609,599,546,10,0.5231,0.9836,373785.26,3045.0,450.0,370290.26
